What is your age group?,What is your Gender?," How often do you use digital payments (UPI, cards, wallets, net banking)?  ",Which digital payment method do you use the most?,Digital payments make your daily transactions faster and easier.,Digital payments helps you to control unnecessary spending.,Digital payment apps helps you to track expenses effectively.,You save a portion of your income regularly.,Is your savings have increased after using digital payments.,Digital payments reduce your dependence on cash.,You feel more financially disciplined after adopting digital payments.,"Overall, how would you rate your financial behaviour after using digital payments?"
18-25,Female,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Yes,Yes,Always,No,Agree,Neutral,Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,No,Never,No,Disagree,Disagree,Very Poor
18-25,Male,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,Yes,Yes,Often,No,Agree,Neutral,Good
18-25,Female,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,Yes,No,Often,No,Disagree,Disagree,Average
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Maybe,Maybe,Sometimes,Not Sure,Neutral,Neutral,Good
18-25,Female,Rarely,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Sometimes,Not Sure,Neutral,Neutral,Poor
18-25,Male,A few times a week,UPI (GPay/PhonePe/Paytm),Maybe,Maybe,Yes,Rarely,No,Disagree,Disagree,Poor
18-25,Male,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,Yes,Maybe,Rarely,No,Agree,Agree,Very Poor
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Often,Not Sure,Agree,Agree,Very Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Sometimes,No,Strongly Agree,Neutral,Poor
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Maybe,Yes,Sometimes,Not Sure,Strongly Agree,Neutral,Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Yes,Yes,Always,No,Strongly Agree,Neutral,Average
18-25,Male,Once a day,UPI (GPay/PhonePe/Paytm),Maybe,Maybe,Yes,Sometimes,Yes,Agree,Strongly Agree,Very Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Maybe,Yes,Often,Not Sure,Agree,Neutral,Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Maybe,No,No,Rarely,No,Neutral,Disagree,Average
18-25,Female,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Sometimes,No,Agree,Neutral,Good
18-25,Male,Once a day,Net Banking,Yes,No,Yes,Often,Not Sure,Neutral,Agree,Poor
46-55,Female,Once a day,UPI (GPay/PhonePe/Paytm),Yes,No,No,Never,No,Strongly Agree,Strongly Disagree,Very Poor
Above 55,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Never,No,Strongly Agree,Strongly Disagree,Very Poor
18-25,Male,Once a day,UPI (GPay/PhonePe/Paytm),Yes,Yes,Yes,Rarely,Yes,Agree,Agree,Good
18-25,Male,Once a day,Debit/Credit Card,Yes,No,Yes,Always,Not Sure,Strongly Disagree,Strongly Disagree,Very Poor
26-35,Male,Once a day,Net Banking,No,Yes,Yes,Sometimes,No,Disagree,Disagree,Poor
18-25,Male,Multiple times a day,Net Banking,Yes,No,Yes,Sometimes,No,Agree,Disagree,Very Poor
36-45,Female,A few times a week,Net Banking,Yes,Yes,No,Always,No,Agree,Neutral,Good
18-25,Male,Once a day,Net Banking,Yes,No,No,Never,No,Agree,Strongly Disagree,Very Poor
26-35,Male,Once a day,Debit/Credit Card,No,Maybe,Yes,Always,No,Strongly Agree,Strongly Agree,Poor
36-45,Male,A few times a week,Net Banking,No,Yes,No,Often,Yes,Agree,Agree,Very Poor
18-25,Male,Once a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Sometimes,No,Strongly Agree,Neutral,Very Poor
18-25,Male,Once a day,UPI (GPay/PhonePe/Paytm),Yes,Yes,No,Always,Yes,Neutral,Agree,Good
18-25,Female,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Maybe,Sometimes,Not Sure,Neutral,Neutral,Average
Above 55,Male,Once a day,UPI (GPay/PhonePe/Paytm),Yes,No,No,Never,No,Agree,Disagree,Average
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,No,Sometimes,No,Neutral,Neutral,Very Poor
18-25,Male,Once a day,Debit/Credit Card,Yes,No,Yes,Often,Yes,Agree,Agree,Poor
18-25,Female,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,Yes,Maybe,Always,Not Sure,Neutral,Agree,Good
18-25,Female,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,Maybe,Maybe,Sometimes,No,Agree,Neutral,Good
18-25,Female,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,No,Never,No,Strongly Disagree,Neutral,Average
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Often,No,Agree,Neutral,Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Yes,Maybe,Always,Yes,Agree,Agree,Very Good
18-25,Male,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,Yes,No,Sometimes,No,Agree,Agree,Good
18-25,Female,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Maybe,Yes,Sometimes,Not Sure,Neutral,Neutral,Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Sometimes,No,Strongly Agree,Disagree,Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Yes,Yes,Rarely,Not Sure,Neutral,Agree,Good
18-25,Male,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,Maybe,Yes,Sometimes,Not Sure,Agree,Neutral,Good
18-25,Female,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Maybe,Yes,Sometimes,Not Sure,Agree,Agree,Good
18-25,Female,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Never,No,Neutral,Neutral,Average
26-35,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Yes,Yes,Always,Yes,Strongly Agree,Strongly Agree,Very Good
26-35,Male,Once a day,UPI (GPay/PhonePe/Paytm),Yes,No,No,Always,No,Agree,Disagree,Average
26-35,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Maybe,No,Maybe,Often,No,Strongly Agree,Agree,Average
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Maybe,Rarely,Not Sure,Agree,Disagree,Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,No,Often,No,Agree,Neutral,Good
18-25,Female,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Yes,Yes,Sometimes,No,Agree,Agree,Very Good
18-25,Male,Once a day,UPI (GPay/PhonePe/Paytm),Yes,No,No,Often,Yes,Strongly Agree,Agree,Good
18-25,Male,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Often,Not Sure,Strongly Agree,Neutral,Very Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Maybe,Always,No,Agree,Agree,Average
36-45,Male,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,Yes,Maybe,Sometimes,Not Sure,Agree,Disagree,Good
18-25,Male,Once a day,UPI (GPay/PhonePe/Paytm),Yes,Yes,No,Always,No,Strongly Agree,Strongly Agree,Average
18-25,Female,Rarely,UPI (GPay/PhonePe/Paytm),Maybe,No,Yes,Never,No,Agree,Agree,Average
26-35,Male,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,Yes,Maybe,Rarely,No,Agree,Disagree,Poor
26-35,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,No,Sometimes,No,Strongly Agree,Neutral,Average
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Maybe,Maybe,Sometimes,Not Sure,Strongly Agree,Neutral,Good
36-45,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,Yes,Yes,Always,Yes,Strongly Agree,Agree,Very Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Always,No,Strongly Agree,Agree,Good
18-25,Female,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Never,No,Strongly Agree,Neutral,Average
18-25,Female,A few times a week,UPI (GPay/PhonePe/Paytm),Yes,Yes,Maybe,Sometimes,Not Sure,Agree,Agree,Average
26-35,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Often,No,Agree,Disagree,Average
26-35,Male,Once a day,Net Banking,No,Yes,Yes,Often,Yes,Strongly Agree,Strongly Agree,Poor
26-35,Male,Once a day,Mobile Wallet,Maybe,No,No,Sometimes,No,Disagree,Disagree,Poor
26-35,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Yes,Often,Yes,Strongly Agree,Neutral,Good
18-25,Male,Multiple times a day,UPI (GPay/PhonePe/Paytm),Yes,No,Maybe,Never,No,Agree,Neutral,Average
